0.00000;0.00000
0.01657;1.80328
0.05879;3.11475
0.14840;4.42623
0.26170;5.73770
0.37630;6.72131
0.65483;8.19672
0.86486;9.01639
1.19338;9.83607
1.45275;10.16393
1.80690;10.49180
2.02017;10.49180
2.28084;10.49180
2.49476;10.32787
2.82780;10.00000
3.13716;9.67213
3.42281;9.34426
3.70976;8.68852
3.94802;8.36066
4.23433;7.86885
4.52128;7.21311
4.97540;6.22951
5.26235;5.57377
5.59669;4.91803
5.88364;4.26230
6.21798;3.60656
6.81493;2.45902
7.43493;1.47541
7.86277;1.14754
8.29060;0.81967
8.85932;0.81967
9.33326;0.81967
9.78285;0.98361
10.47005;0.98361
11.41792;0.98361
12.24730;0.98361